ma_san_pham,hinh_anh
422218629,https://media.hcdn.vn/catalog/product/f/a/facebook-dynamic-combo-2-sua-rua-mat-cetaphil-diu-lanh-cho-da-nhay-cam-500ml-moi-1709888772_img_380x380_64adc6_fit_center.jpg
243300007,https://media.hcdn.vn/catalog/product/f/a/facebook-dynamic-bong-tay-trang-ipek-150-mieng-1723264109_img_380x380_64adc6_fit_center.jpg
422203807,https://media.hcdn.vn/catalog/product/f/a/facebook-dynamic-combo-2-bong-tay-trang-ipek-150-mieng-1723264478_img_380x380_64adc6_fit_center.jpg
308100018,https://media.hcdn.vn/catalog/product/f/a/facebook-dynamic-308100018-1690190861_img_380x380_64adc6_fit_center.jpg
226200017,https://media.hcdn.vn/catalog/product/f/a/facebook-dynamic-226200017-1699005068_img_380x380_64adc6_fit_center.jpg
422201504,https://media.hcdn.vn/catalog/product/f/a/facebook-dynamic-422201504-1689925342_img_380x380_64adc6_fit_center.png
422211501,https://media.hcdn.vn/catalog/product/p/r/promotions-auto-sua-rua-mat-eucerin-diu-nhe-cho-da-nhay-cam-100ml-moi_FModiJSj1QQsGbAc_img_380x380_64adc6_fit_center.png
377400001,https://media.hcdn.vn/catalog/product/f/a/facebook-dynamic-nuoc-tay-trang-chiet-xuat-cay-phi-derladie-500ml-1716601937_img_380x380_64adc6_fit_center.jpg
422217029,https://media.hcdn.vn/catalog/product/f/a/facebook-dynamic-422217029-1702629515_img_380x380_64adc6_fit_center.png
308500009,https://media.hcdn.vn/catalog/product/f/a/facebook-dynamic-308500009-1697790787_img_380x380_64adc6_fit_center.png
223600035,https://media.hcdn.vn/catalog/product/f/a/facebook-dynamic-223600035-1698736736_img_380x380_64adc6_fit_center.jpg
100230069,https://media.hcdn.vn/catalog/product/f/a/facebook-dynamic-bong-tay-trang-silcot-co-ban-82-mieng-1709017942_img_380x380_64adc6_fit_center.jpg
100150066,https://media.hcdn.vn/catalog/product/f/a/facebook-dynamic-xit-khoang-avene-lam-diu-da-giam-kich-ung-150ml-1732088949_img_380x380_64adc6_fit_center.jpg
355500010,https://media.hcdn.vn/catalog/product/f/a/facebook-dynamic-355500010-1703580558_img_380x380_64adc6_fit_center.png
422208242,https://media.hcdn.vn/catalog/product/f/a/facebook-dynamic-422208242-1689921150_img_380x380_64adc6_fit_center.png
343100028,https://media.hcdn.vn/catalog/product/f/a/facebook-dynamic-nuoc-hoa-hong-b-o-m-tu-8-loai-tra-cho-moi-loai-da-150ml-1696044832_img_380x380_64adc6_fit_center.jpg
422208807,https://media.hcdn.vn/catalog/product/f/a/facebook-dynamic-422208807-1695782175_img_380x380_64adc6_fit_center.png
422204906,https://media.hcdn.vn/catalog/product/f/a/facebook-dynamic-422204906-1696235881_img_380x380_64adc6_fit_center.png
310100003,https://media.hcdn.vn/catalog/product/f/a/facebook-dynamic-310100003-1701139204_img_380x380_64adc6_fit_center.jpg
214000001,https://media.hcdn.vn/catalog/product/f/a/facebook-dynamic-tinh-chat-melano-cc-duong-sang-da-ngua-tham-nam-20ml-1709710914_img_380x380_64adc6_fit_center.jpg
422211548,https://media.hcdn.vn/catalog/product/f/a/facebook-dynamic-422211548-1696048174_img_380x380_64adc6_fit_center.png
100750038,https://media.hcdn.vn/catalog/product/f/a/facebook-dynamic-100750038-1704430283_img_380x380_64adc6_fit_center.png
318900019,https://media.hcdn.vn/catalog/product/f/a/facebook-dynamic-318900019-1730429206_img_380x380_64adc6_fit_center.jpg
